feature_set,algorithm,rmse,folds
stripped-no-stats,FLAML_Regressor,0.9410786163290051,[0.9354563346989864 0.9430254253637198 0.9463211783134095 0.938580253853595 0.9420098894153148]
feature-expansion-no-stats,FLAML_Regressor,0.9095754872422891,[0.902029940325959 0.9057997691022412 0.9157742049110356 0.9144823598277645 0.9097911620444455]

basic-no-stats,Librecommender_SVDpp,0.9132270123865446,[0.909901089920788 0.9144677479373304 0.9197778464235297 0.9079029433004269 0.9140854343506482]

stripped-no-stats,Librecommender_WideDeep,0.91906764352815,[0.9121551991556289 0.9176873245559297 0.928830660679228 0.9195581124659952 0.9171069207839678]
stripped-with-stats,Librecommender_WideDeep,0.9140779386310545,[0.9077584715019759 0.9106431287160784 0.9214508125793865 0.9164950278512493 0.9140422525065827]
basic-no-stats,Librecommender_WideDeep,0.9089875056510394,[0.9008762129214861 0.9042869316737641 0.916653292946928 0.9124119710400969 0.9107091196729222]
basic-with-stats,Librecommender_WideDeep,0.9103377800502985,[0.9000945847944591 0.9032446501001111 0.921893640411656 0.9177938794967104 0.9086621454485562]
feature-expansion-no-stats,Librecommender_WideDeep,0.9092658315493581,[0.9117173393192548 0.9077736283955392 0.9111028691512186 0.901494882188882 0.9142404386918962]
feature-expansion-with-stats,Librecommender_WideDeep,0.9128123749876507,[0.912300590414589 0.9174351183334477 0.9207449177758639 0.906128281453837 0.9074529669605155]

stripped-no-stats,Librecommender_DIN,0.9344776082222571,[0.9322723720157997 0.9282171168097929 0.946030848764863 0.9321610957655344 0.9337066077552952]
stripped-with-stats,Librecommender_DIN,0.9329489332236687,[0.9263421451492639 0.9282699352642543 0.9407278840133467 0.9314408883272969 0.9379638133641817]
basic-no-stats,Librecommender_DIN,0.9302905443797762,[0.9174661162231746 0.9314312099734113 0.940183525731166 0.9282321305293868 0.9341397394417421]
basic-with-stats,Librecommender_DIN,0.9266177076804507,[0.9133273981692845 0.9282480837641445 0.9321112442150383 0.9272281852932525 0.9321736269605336]
feature-expansion-no-stats,Librecommender_DIN,0.9225194853556944,[0.9217162142564814 0.9243238205680596 0.9247726412345962 0.9161468580497067 0.9256378926696283]
feature-expansion-with-stats,Librecommender_DIN,0.9252977514263971,[0.9297814896492754 0.9282124638719633 0.9274140915082905 0.9111281606089024 0.9299525514935537]

basic-no-stats,myfm_bayesian_factorization_machine,0.8994860089002079,[0.8930735619337816 0.9030436872536077 0.903398664921977 0.9002496319392805 0.8976644984523929]
basic-with-stats,myfm_bayesian_factorization_machine,0.8873615735977707,[0.8832609743690876 0.887064581171436 0.8954878462138963 0.8853438730748354 0.8856505931595977]
feature-expansion-no-stats,myfm_bayesian_factorization_machine,0.8877104237902158,[0.8825816851646109 0.8867939308355327 0.8926570069894426 0.885629031815829 0.890890464145664]
feature-expansion-with-stats,myfm_bayesian_factorization_machine,0.8849043681640119,[0.8809890336733597 0.886250277755421 0.8895746632850762 0.8818542988606908 0.8858535672455117]
stripped-no-stats,myfm_bayesian_factorization_machine,0.8983187947507169,[0.894128265082342 0.8988125194465522 0.9043843371894333 0.8958325207944265 0.8984363312408308]
stripped-with-stats,myfm_bayesian_factorization_machine,0.9015313387268501,[0.8985679372812769 0.901878222506993 0.9073435406338787 0.9003924145822703 0.8994745786298309]

